,KABKOT,month,year,longitude,latitude,tp,time
207,JAKARTA TIMUR,6,2020,106.90999999999997,-6.2600000000000025,1.942249692976499,2020-06-01
212,JAKARTA TIMUR,7,2020,106.90999999999997,-6.2600000000000025,1.522086508572148,2020-07-01
217,JAKARTA TIMUR,8,2020,106.90999999999997,-6.2600000000000025,1.6052805930377274,2020-08-01
222,JAKARTA TIMUR,9,2020,106.90999999999997,-6.2600000000000025,2.2886404916644443,2020-09-01
227,JAKARTA TIMUR,10,2020,106.90999999999997,-6.2600000000000025,7.478732630610494,2020-10-01
232,JAKARTA TIMUR,11,2020,106.90999999999997,-6.2600000000000025,6.641908235847561,2020-11-01
237,JAKARTA TIMUR,12,2020,106.90999999999997,-6.2600000000000025,9.701917909085713,2020-12-01
242,JAKARTA UTARA,1,2020,106.89166666666664,-6.1250000000000036,15.410698428749733,2020-01-01
247,JAKARTA UTARA,2,2020,106.89166666666664,-6.1250000000000036,14.572458118199991,2020-02-01
252,JAKARTA UTARA,3,2020,106.89166666666664,-6.1250000000000036,10.55003674700876,2020-03-01
257,JAKARTA UTARA,4,2020,106.89166666666664,-6.1250000000000036,7.5410156262417685,2020-04-01
262,JAKARTA UTARA,5,2020,106.89166666666664,-6.1250000000000036,6.261203624307982,2020-05-01
267,JAKARTA UTARA,6,2020,106.89166666666664,-6.1250000000000036,2.03261410196624,2020-06-01
272,JAKARTA UTARA,7,2020,106.89166666666664,-6.1250000000000036,1.5261613453428435,2020-07-01
277,JAKARTA UTARA,8,2020,106.89166666666664,-6.1250000000000036,1.2772236391902736,2020-08-01
282,JAKARTA UTARA,9,2020,106.89166666666664,-6.1250000000000036,1.7758747749030948,2020-09-01
287,JAKARTA UTARA,10,2020,106.89166666666664,-6.1250000000000036,5.612612813711195,2020-10-01
292,JAKARTA UTARA,11,2020,106.89166666666664,-6.1250000000000036,5.392927216986578,2020-11-01
297,JAKARTA UTARA,12,2020,106.89166666666664,-6.1250000000000036,9.142884202301442,2020-12-01
3,JAKARTA BARAT,1,2021,106.74999999999996,-6.158333333333336,10.499981592098708,2021-01-01
8,JAKARTA BARAT,2,2021,106.74999999999996,-6.158333333333336,14.319913672903626,2021-02-01
13,JAKARTA BARAT,3,2021,106.74999999999996,-6.158333333333336,7.617955124005662,2021-03-01
18,JAKARTA BARAT,4,2021,106.74999999999996,-6.158333333333336,5.2162580316265625,2021-04-01
23,JAKARTA BARAT,5,2021,106.74999999999996,-6.158333333333336,3.8307586498559503,2021-05-01
28,JAKARTA BARAT,6,2021,106.74999999999996,-6.158333333333336,4.822660274803625,2021-06-01
33,JAKARTA BARAT,7,2021,106.74999999999996,-6.158333333333336,1.5891003546615454,2021-07-01
38,JAKARTA BARAT,8,2021,106.74999999999996,-6.158333333333336,5.294272582978103,2021-08-01
43,JAKARTA BARAT,9,2021,106.74999999999996,-6.158333333333336,5.23896856233486,2021-09-01
48,JAKARTA BARAT,10,2021,106.74999999999996,-6.158333333333336,4.267153659214559,2021-10-01
53,JAKARTA BARAT,11,2021,106.74999999999996,-6.158333333333336,7.640647565325037,2021-11-01
58,JAKARTA BARAT,12,2021,106.74999999999996,-6.158333333333336,7.648300888637574,2021-12-01
63,JAKARTA PUSAT,1,2021,106.84999999999997,-6.200000000000003,10.889165177941196,2021-01-01
68,JAKARTA PUSAT,2,2021,106.84999999999997,-6.200000000000003,14.592087119817386,2021-02-01
73,JAKARTA PUSAT,3,2021,106.84999999999997,-6.200000000000003,8.138815984129714,2021-03-01
78,JAKARTA PUSAT,4,2021,106.84999999999997,-6.200000000000003,5.379415787756331,2021-04-01
83,JAKARTA PUSAT,5,2021,106.84999999999997,-6.200000000000003,3.708481527865008,2021-05-01
88,JAKARTA PUSAT,6,2021,106.84999999999997,-6.200000000000003,4.860378764569697,2021-06-01
93,JAKARTA PUSAT,7,2021,106.84999999999997,-6.200000000000003,1.562837809324224,2021-07-01
98,JAKARTA PUSAT,8,2021,106.84999999999997,-6.200000000000003,5.246378108859259,2021-08-01
103,JAKARTA PUSAT,9,2021,106.84999999999997,-6.200000000000003,5.10979820042861,2021-09-01
108,JAKARTA PUSAT,10,2021,106.84999999999997,-6.200000000000003,4.605969861149648,2021-10-01
113,JAKARTA PUSAT,11,2021,106.84999999999997,-6.200000000000003,8.711064681410397,2021-11-01
118,JAKARTA PUSAT,12,2021,106.84999999999997,-6.200000000000003,7.924561128020075,2021-12-01
123,JAKARTA SELATAN,1,2021,106.8083333333333,-6.283333333333336,11.105528101324891,2021-01-01
128,JAKARTA SELATAN,2,2021,106.8083333333333,-6.283333333333336,13.23107307155891,2021-02-01
133,JAKARTA SELATAN,3,2021,106.8083333333333,-6.283333333333336,8.64465379466594,2021-03-01
138,JAKARTA SELATAN,4,2021,106.8083333333333,-6.283333333333336,5.532641631240549,2021-04-01
