,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,pm10,so2
130,JAKARTA BARAT,11,2020,106.74999999999996,-6.158333333333336,49.37169645163248,2020-11-01,81.09503479003895,27.72835917154951,4.9232592123249255,9439,70.10274996943592,4.849671902259312
131,JAKARTA BARAT,12,2020,106.74999999999996,-6.158333333333336,30.06870850912783,2020-12-01,83.04466654459645,26.942380981445325,9.082674675931528,11080,43.20462240402313,3.441732748777456
132,JAKARTA PUSAT,1,2020,106.84999999999997,-6.200000000000003,40.53318801193021,2020-01-01,86.0410644531251,27.104393310546868,15.40950819849924,27982,58.03606679677404,4.025270532831411
133,JAKARTA PUSAT,2,2020,106.84999999999997,-6.200000000000003,39.45407074231398,2020-02-01,86.44782714843727,26.959560546875025,14.579104036092373,28165,56.72672447332196,3.667796122261448
134,JAKARTA PUSAT,3,2020,106.84999999999997,-6.200000000000003,48.19747786655195,2020-03-01,84.51853637695305,27.42665527343752,10.993788577616272,30524,68.64378698641869,4.889777730843882
135,JAKARTA PUSAT,4,2020,106.84999999999997,-6.200000000000003,52.43751689458093,2020-04-01,84.51002807617216,27.681580810546848,7.813130728900386,9251,74.58419633602934,5.685040373954853
136,JAKARTA PUSAT,5,2020,106.84999999999997,-6.200000000000003,56.94716226874716,2020-05-01,83.64716796875003,27.908977050781232,6.05992265045625,4126,81.01211465809037,6.360902466253786
137,JAKARTA PUSAT,6,2020,106.84999999999997,-6.200000000000003,60.173134267909326,2020-06-01,80.90009765624986,27.762005615234383,1.930142045021072,5291,85.73914338209602,6.165367210713903
138,JAKARTA PUSAT,7,2020,106.84999999999997,-6.200000000000003,61.47864108167415,2020-07-01,77.46544799804667,27.456694335937527,1.5308443456888596,4588,87.68737679076996,6.47252010323697
139,JAKARTA PUSAT,8,2020,106.84999999999997,-6.200000000000003,58.03431146015833,2020-08-01,74.91954956054657,27.846728515625045,1.520049981773,4410,82.63226076129314,5.684600330014271
140,JAKARTA PUSAT,9,2020,106.84999999999997,-6.200000000000003,55.11527509346194,2020-09-01,74.42985229492166,28.06586914062501,1.9501545652747367,3158,78.31073855158044,5.406143500763178
141,JAKARTA PUSAT,10,2020,106.84999999999997,-6.200000000000003,57.814672646354666,2020-10-01,78.27996215820264,27.760706787109427,6.510780863463895,3774,81.80891537534869,5.294331234525134
142,JAKARTA PUSAT,11,2020,106.84999999999997,-6.200000000000003,50.52768560887037,2020-11-01,81.41886596679682,27.62507202148436,5.744253322481779,4382,71.72794462680629,4.957950974406221
143,JAKARTA PUSAT,12,2020,106.84999999999997,-6.200000000000003,31.601573763732056,2020-12-01,83.00504150390623,26.883378906250016,9.32534016668792,3940,45.36880590322258,3.6152096389555095
144,JAKARTA SELATAN,1,2020,106.8083333333333,-6.283333333333336,42.21472247076552,2020-01-01,86.42279052734371,26.82615865071615,15.172972343861574,32716,60.38526644146368,4.301926397786732
