,KABKOT,month,year,longitude,latitude,pm2p5,time,RH,t2m,tp,ispa,so2
169,JAKARTA UTARA,2,2020,106.89166666666664,-6.125000000000004,37.0739606382468,2020-02-01,86.03388163248701,27.118930460611978,14.572458118199991,31907,64.82588919174768
170,JAKARTA UTARA,3,2020,106.89166666666664,-6.125000000000004,45.2564232962992,2020-03-01,84.30428263346361,27.56819173177081,10.55003674700876,31663,86.69270018061535
171,JAKARTA UTARA,4,2020,106.89166666666664,-6.125000000000004,48.983905946740286,2020-04-01,84.19154663085938,27.81994852701821,7.541015626241768,10716,100.39067441136518
172,JAKARTA UTARA,5,2020,106.89166666666664,-6.125000000000004,52.75324183805449,2020-05-01,83.45987141927101,28.06630228678382,6.261203624307982,6584,112.3332339332333
173,JAKARTA UTARA,6,2020,106.89166666666664,-6.125000000000004,55.71104188343747,2020-06-01,80.86588236490901,27.923843383789023,2.03261410196624,6598,108.6845677757395
174,JAKARTA UTARA,7,2020,106.89166666666664,-6.125000000000004,56.96859201660035,2020-07-01,78.08133850097614,27.5596169026693,1.5261613453428435,6174,114.25910537558418
175,JAKARTA UTARA,8,2020,106.89166666666664,-6.125000000000004,53.65254950441513,2020-08-01,76.05557657877559,27.903101603190134,1.2772236391902736,5787,99.91082468003864
176,JAKARTA UTARA,9,2020,106.89166666666664,-6.125000000000004,51.78959357563363,2020-09-01,75.2931284586585,28.15616251627605,1.7758747749030948,5790,96.3497076394386
177,JAKARTA UTARA,10,2020,106.89166666666664,-6.125000000000004,54.99491000075409,2020-10-01,78.27271931966133,27.90159525553385,5.612612813711195,4599,95.05626740932702
178,JAKARTA UTARA,11,2020,106.89166666666664,-6.125000000000004,47.54436196642456,2020-11-01,81.27635904947913,27.78606343587237,5.392927216986578,6035,88.4216603563849
179,JAKARTA UTARA,12,2020,106.89166666666664,-6.125000000000004,30.78800309857425,2020-12-01,83.09985453287766,27.019763997395795,9.142884202301442,6555,65.5286235149532
180,JAKARTA BARAT,1,2021,106.74999999999996,-6.158333333333336,38.77022049872058,2021-01-01,85.86905619303394,26.5427215576172,10.499981592098708,8616,75.22069522163595
181,JAKARTA BARAT,2,2021,106.74999999999996,-6.158333333333336,36.97789151521925,2021-02-01,86.57535298665346,26.619530029296925,14.319913672903626,8972,63.63983401243231
182,JAKARTA BARAT,3,2021,106.74999999999996,-6.158333333333336,46.07152420849646,2021-03-01,82.87356160481762,27.24802347819013,7.617955124005662,10102,97.4288388311206
183,JAKARTA BARAT,4,2021,106.74999999999996,-6.158333333333336,59.90305018342807,2021-04-01,81.50893859863292,27.47894795735679,5.2162580316265625,10829,116.17627030304504
184,JAKARTA BARAT,5,2021,106.74999999999996,-6.158333333333336,64.21186325766837,2021-05-01,81.10568033854169,28.06432067871096,3.8307586498559503,9698,124.38280143809716
185,JAKARTA BARAT,6,2021,106.74999999999996,-6.158333333333336,59.50422192116073,2021-06-01,83.64358520507831,27.18384602864584,4.822660274803625,13915,114.96838512461916
186,JAKARTA BARAT,7,2021,106.74999999999996,-6.158333333333336,62.78223538874156,2021-07-01,78.0597920735678,27.390769856770845,1.5891003546615454,10176,124.46413911152337
187,JAKARTA BARAT,8,2021,106.74999999999996,-6.158333333333336,63.65226924111163,2021-08-01,78.9230875651045,27.48551167805988,5.294272582978103,7727,110.656540047119
188,JAKARTA BARAT,9,2021,106.74999999999996,-6.158333333333336,57.234406720180914,2021-09-01,79.64974365234379,27.658139241536475,5.23896856233486,9994,103.2705380737695
189,JAKARTA BARAT,10,2021,106.74999999999996,-6.158333333333336,60.19103756058352,2021-10-01,79.20348307291675,27.92423746744792,4.267153659214559,9287,102.26936365862446
190,JAKARTA BARAT,11,2021,106.74999999999996,-6.158333333333336,40.7619254784282,2021-11-01,81.591488647461,27.380654500325523,7.640647565325037,13709,84.18979667895285
191,JAKARTA BARAT,12,2021,106.74999999999996,-6.158333333333336,42.6893768857968,2021-12-01,83.56459350585936,27.251652628580768,7.648300888637574,16993,84.98990717214112
192,JAKARTA PUSAT,1,2021,106.84999999999997,-6.200000000000003,40.17870171087643,2021-01-01,86.03822631835953,26.427697753906216,10.889165177941196,4559,78.03105310190577
